序号,项目名称,负责人,开始日期,结束日期,进度(%),状态,优先级,预算(万),实际花费(万),部门,备注,审批状态,风险等级,完成质量
1,小红书项目01,负责人B,2025-08-01,2025-09-01,64,已完成,中,33.6,29.0,运营部,初始备注1,已批准,L1,良好
2,小红书项目02,负责人C,2025-08-02,2025-09-02,18,待启动,中,37.6,23.3,运营部,初始备注2,待审批,L2,良好
3,小红书项目03,负责人D,2025-08-03,2025-09-03,20,待启动,高,75.0,60.4,运营部,初始备注3,待审批,L2,优秀
4,小红书项目04,负责人E,2025-08-04,2025-09-04,73,已完成,低,47.6,38.9,内容部,初始备注4,已批准,L3,一般
5,小红书项目05,负责人A,2025-08-05,2025-09-05,37,待启动,低,93.4,37.4,技术部,初始备注5,已批准,L3,一般
6,小红书项目06,负责人B,2025-08-06,2025-09-06,52,已完成,低,45.1,23.0,技术部,初始备注6,待审批,L1,优秀
7,小红书项目07,负责人C,2025-08-07,2025-09-07,30,已完成,高,17.0,64.3,内容部,初始备注7,已批准,L1,良好
8,小红书项目08,负责人D,2025-08-08,2025-09-08,24,已完成,中,53.8,59.3,内容部,初始备注8,待审批,L1,一般
9,小红书项目09,负责人E,2025-08-09,2025-09-09,61,进行中,低,70.6,62.7,技术部,初始备注9,已批准,L1,一般
10,小红书项目10,负责人A,2025-08-10,2025-09-10,71,已完成,中,60.5,37.8,内容部,初始备注10,待审批,L2,优秀
11,小红书项目11,负责人B,2025-08-11,2025-09-11,65,进行中,中,99.2,14.6,运营部,初始备注11,已批准,L1,优秀
12,小红书项目12,负责人C,2025-08-12,2025-09-12,90,已完成,低,68.7,7.7,技术部,初始备注12,待审批,L2,良好
13,小红书项目13,负责人D,2025-08-13,2025-09-13,58,已完成,低,81.6,67.6,技术部,初始备注13,已批准,L1,一般
14,小红书项目14,负责人E,2025-08-14,2025-09-14,21,进行中,低,43.0,43.3,技术部,初始备注14,待审批,L1,优秀
15,小红书项目15,负责人A,2025-08-15,2025-09-15,89,进行中,中,44.7,36.1,运营部,初始备注15,已批准,L1,一般
16,小红书项目16,负责人B,2025-08-16,2025-09-16,73,已完成,低,33.3,44.6,运营部,初始备注16,已批准,L1,优秀
17,小红书项目17,负责人C,2025-08-17,2025-09-17,62,已完成,中,31.8,47.0,内容部,初始备注17,已批准,L1,优秀
18,小红书项目18,负责人D,2025-08-18,2025-09-18,69,待启动,中,92.2,66.4,运营部,初始备注18,待审批,L1,一般
19,小红书项目19,负责人E,2025-08-19,2025-09-19,72,进行中,低,55.3,38.5,内容部,初始备注19,待审批,L3,良好
20,小红书项目20,负责人A,2025-08-20,2025-09-20,59,进行中,低,58.2,74.0,内容部,初始备注20,待审批,L3,良好
21,小红书项目21,负责人B,2025-08-21,2025-09-21,41,已完成,低,47.0,72.6,内容部,初始备注21,已批准,L2,一般
22,小红书项目22,负责人C,2025-08-22,2025-09-22,61,已完成,低,77.1,41.4,内容部,初始备注22,已批准,L3,一般
23,小红书项目23,负责人D,2025-08-23,2025-09-23,50,已完成,高,34.6,7.1,技术部,初始备注23,待审批,L2,优秀
24,小红书项目24,负责人E,2025-08-24,2025-09-24,83,进行中,高,65.7,22.1,运营部,初始备注24,待审批,L3,一般
25,小红书项目25,负责人A,2025-08-25,2025-09-25,80,已完成,低,45.0,63.8,运营部,初始备注25,已批准,L2,优秀
26,小红书项目26,负责人B,2025-08-26,2025-09-26,51,待启动,中,38.1,40.7,技术部,初始备注26,已批准,L1,一般
27,小红书项目27,负责人C,2025-08-27,2025-09-27,47,待启动,中,49.5,63.3,运营部,初始备注27,待审批,L3,良好
28,小红书项目28,负责人D,2025-08-28,2025-09-28,29,进行中,高,77.9,17.8,运营部,初始备注28,待审批,L3,优秀
29,小红书项目29,负责人E,2025-08-29,2025-09-29,48,待启动,高,68.3,60.3,内容部,初始备注29,已批准,L1,优秀
30,小红书项目30,负责人A,2025-08-30,2025-09-30,64,进行中,低,61.4,14.6,运营部,初始备注30,已批准,L1,优秀
