序号,项目名称,负责人,开始日期,结束日期,进度(%),状态,优先级,预算(万),实际花费(万),部门,备注,审批状态,风险等级,完成质量
1,小红书项目01,负责人B,2025-08-01,2025-09-01,33,已完成,低,95.0,47.5,运营部,备注1,已批准,L2,良好
2,小红书项目02,负责人C,2025-08-02,2025-09-02,52,已完成,低,12.2,31.4,内容部,备注2,已驳回,L1,优秀
3,小红书项目03,负责人D,2025-08-03,2025-09-03,38,已完成,中,86.5,58.0,技术部,备注3,已驳回,L1,良好
4,小红书项目04,负责人E,2025-08-04,2025-09-04,63,已延期,高,95.7,50.8,内容部,备注4,已驳回,L1,良好
5,小红书项目05,负责人A,2025-08-05,2025-09-05,75,待启动,中,64.6,63.3,技术部,备注5,待审批,L1,一般
6,小红书项目06,负责人B,2025-08-06,2025-09-06,52,已完成,高,77.9,39.8,内容部,备注6,已批准,L2,待改进
7,小红书项目07,负责人C,2025-08-07,2025-09-07,44,已完成,高,28.8,12.8,市场部,备注7,已批准,L3,优秀
8,小红书项目08,负责人D,2025-08-08,2025-09-08,91,已完成,低,72.4,36.3,内容部,备注8,已批准,L2,一般
9,小红书项目09,负责人E,2025-08-09,2025-09-09,66,待启动,中,53.7,39.9,运营部,备注9,已驳回,L2,良好
10,小红书项目10,负责人A,2025-08-10,2025-09-10,29,已延期,高,83.6,66.4,市场部,备注10,已批准,L2,待改进
11,小红书项目11,负责人B,2025-08-11,2025-09-11,58,待启动,中,38.7,66.0,技术部,备注11,已批准,L3,优秀
12,小红书项目12,负责人C,2025-08-12,2025-09-12,78,已完成,高,36.4,59.9,运营部,备注12,已批准,L3,优秀
13,小红书项目13,负责人D,2025-08-13,2025-09-13,86,已完成,低,67.5,9.7,内容部,备注13,已驳回,L3,一般
14,小红书项目14,负责人E,2025-08-14,2025-09-14,47,已延期,高,59.3,56.6,内容部,备注14,已批准,L1,优秀
15,小红书项目15,负责人A,2025-08-15,2025-09-15,95,待启动,低,19.7,40.3,技术部,备注15,待审批,L3,一般
16,小红书项目16,负责人B,2025-08-16,2025-09-16,44,已完成,高,71.0,30.3,运营部,备注16,已批准,L3,一般
17,小红书项目17,负责人C,2025-08-17,2025-09-17,41,已延期,高,34.6,46.1,市场部,备注17,待审批,L2,良好
18,小红书项目18,负责人D,2025-08-18,2025-09-18,74,待启动,中,79.0,16.7,市场部,备注18,已批准,L2,优秀
19,小红书项目19,负责人E,2025-08-19,2025-09-19,49,已延期,高,49.6,26.1,技术部,备注19,已驳回,L3,良好
20,小红书项目20,负责人A,2025-08-20,2025-09-20,90,已延期,高,64.2,11.7,运营部,备注20,待审批,L3,一般
21,小红书项目21,负责人B,2025-08-21,2025-09-21,36,已延期,高,25.8,33.6,市场部,备注21,已驳回,L2,优秀
22,小红书项目22,负责人C,2025-08-22,2025-09-22,86,已延期,中,43.3,67.8,内容部,备注22,已驳回,L3,待改进
23,小红书项目23,负责人D,2025-08-23,2025-09-23,64,进行中,中,23.9,40.3,市场部,备注23,已批准,L1,一般
24,小红书项目24,负责人E,2025-08-24,2025-09-24,83,已延期,高,33.8,22.8,市场部,备注24,已批准,L3,良好
25,小红书项目25,负责人A,2025-08-25,2025-09-25,69,已完成,低,42.1,71.5,市场部,备注25,已驳回,L3,待改进
26,小红书项目26,负责人B,2025-08-26,2025-09-26,85,待启动,高,70.8,67.1,运营部,备注26,已驳回,L3,优秀
27,小红书项目27,负责人C,2025-08-27,2025-09-27,41,已完成,低,94.7,18.4,运营部,备注27,已驳回,L3,良好
28,小红书项目28,负责人D,2025-08-28,2025-09-28,91,已延期,中,75.8,47.6,市场部,备注28,待审批,L3,优秀
29,小红书项目29,负责人E,2025-08-29,2025-09-29,83,已完成,高,71.9,40.9,内容部,备注29,已驳回,L3,良好
30,小红书项目30,负责人A,2025-08-30,2025-09-30,52,已延期,低,30.4,17.1,内容部,备注30,已批准,L3,一般
